Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_BA6133AA	OSF031120	SRR1995504;ILLUMINA;Paired;500;SRX1008539;237155400;225;NEW	SAL_BA6133AA	Poultry	Poultry	chicken	2014	4			North America	Canada	British Columbia						Enteritidis (Predicted)				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA186035	SRP018785	SAMN03464765	SRS921542	2015-08-27	2015-04-24	Assembled	51	89072	4733951	Salmonella enterica;100.0%	130	19814	2.2	SAL_EA5295AA_AS
SAL_DA9157AA	EC20100134	SRR1183994;LS454;Single;;SRX481517;;;NEW,GCF_000831025;Complete Genome;;;;;;Complete Genome	SAL_DA9157AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384186	SRS566034	2015-08-27	2015-03-05	Assembled	1	4766248	4766248		1	8	NaN	SAL_KA3434AA_AS
SAL_DA9158AA	EC20100130	SRR1183993;LS454;Single;;SRX481516;;;NEW,GCF_000831045;Complete Genome;;;;;;Complete Genome	SAL_DA9158AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384185	SRS566033	2015-08-27	2015-03-05	Assembled	1	4773474	4773474		1	15	NaN	SAL_KA3433AA_AS
SAL_DA9159AA	EC20090884	SRR1183992;LS454;Single;;SRX481515;;;NEW,GCF_000626135;Complete Genome;;;;;;Complete Genome	SAL_DA9159AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384184	SRS566032	2015-08-27	2015-03-05	Assembled	1	4760449	4760449		1	16	NaN	SAL_KA3474AA_AS
SAL_DA9160AA	EC20090531	SRR1183991;LS454;Single;;SRX481514;;;NEW,GCF_000626155;Complete Genome;;;;;;Complete Genome	SAL_DA9160AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384183	SRS566031	2015-08-27	2015-03-05	Assembled	1	4734890	4734890		1	10	NaN	SAL_KA3473AA_AS
SAL_DA9161AA	EC20090332	SRR1183990;LS454;Single;;SRX481513;;;NEW,GCF_000623795;Complete Genome;;;;;;Complete Genome	SAL_DA9161AA	Poultry	Poultry	chicken	2008				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384182	SRS566030	2015-08-27	2015-03-05	Assembled	1	4785193	4785193		1	0	NaN	SAL_KA3477AA_AS
SAL_DA9162AA	EC20090135	SRR1183989;LS454;Single;;SRX481512;;;NEW,GCF_000623755;Complete Genome;;;;;;Complete Genome	SAL_DA9162AA	Poultry	Poultry	chicken	2008				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384181	SRS566029	2015-08-27	2015-03-05	Assembled	1	4771194	4771194		1	31	NaN	SAL_KA3479AA_AS
SAL_DA9163AA	EC20090193	SRR1183988;LS454;Single;;SRX481511;;;NEW,GCF_000623775;Complete Genome;;;;;;Complete Genome	SAL_DA9163AA	Poultry	Poultry	chicken	2008				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384180	SRS566028	2015-08-27	2015-03-05	Assembled	1	4774402	4774402		1	10	NaN	SAL_KA3478AA_AS
SAL_DA9164AA	EC20100103	SRR1183987;LS454;Single;;SRX481510;;;NEW,GCF_000626115;Complete Genome;;;;;;Complete Genome	SAL_DA9164AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384179	SRS566027	2015-08-27	2015-03-05	Assembled	1	4735383	4735383		1	8	NaN	SAL_KA3475AA_AS
SAL_DA9165AA	EC20100101	SRR1183986;LS454;Single;;SRX481509;;;NEW,GCF_000626215;Complete Genome;;;;;;Complete Genome	SAL_DA9165AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384178	SRS566026	2015-08-27	2015-03-05	Assembled	1	4654156	4654156		1	7	NaN	SAL_KA3470AA_AS
